,Creativity,note-edit-count,navigate-count,playback-count,help-count,building-count,param-change-count,saving-count,clipboard-count,total-count,category
0,2.54,26,5,21,2,115,31,0,7,208,least_creative
4,3.27,54,11,25,2,75,17,0,3,180,least_creative
10,1.54,57,0,6,2,30,0,0,2,98,least_creative
11,3.0,39,14,14,2,58,0,0,0,128,least_creative
2,3.31,76,14,16,0,102,7,0,0,216,some_creative
3,3.31,38,1,8,2,102,4,0,10,164,some_creative
6,3.35,53,9,18,2,63,8,0,0,151,some_creative
1,3.73,47,13,27,2,104,0,0,0,194,mostly_creative
8,3.42,9,7,9,2,41,29,0,0,98,mostly_creative
12,3.42,30,8,23,2,105,1,0,3,173,mostly_creative
5,3.81,49,8,20,2,305,1,0,23,409,very_creative
7,4.27,38,19,4,2,74,18,0,0,149,very_creative
9,4.31,94,11,26,2,98,4,0,0,236,very_creative
13,3.77,40,4,14,2,121,0,0,4,186,very_creative
